material_description,material_price,vendor,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.86,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/7/2022 14:15
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/7/2022 14:15
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/7/2022 14:15
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.6,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/7/2022 14:15
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,98.99,amazon,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,11/7/2022 14:15
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/7/2022 14:15
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/7/2022 14:15
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/7/2022 14:15
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/7/2022 14:15
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/7/2022 14:15
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/7/2022 14:15
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,11/7/2022 14:15
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/7/2022 14:15
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/7/2022 14:15
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,11/7/2022 14:15
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),5.99,lowes,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,11/7/2022 14:15
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),11.03,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/7/2022 14:15
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),6.45,dkhardware,https://www.dkhardware.com/23212-3-4-in-electrical-metallic-tube-emt-set-screw-connector-product-3241496.html,11/7/2022 14:15
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/7/2022 14:15
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/7/2022 14:15
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/7/2022 14:15
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,https://www.ebay.com/itm/363478081520,11/7/2022 14:15
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/7/2022 14:15
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/7/2022 14:15
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/7/2022 14:15
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,0.68,com/product/14-3-nm-b-wg-romex-wire-cable/,https://wirewireelectricsupply.com/product/14-3-nm-b-wg-romex-wire-cable/,11/7/2022 14:15
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,215,walmart,https://www.walmart.com/ip/250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire/786548661,11/7/2022 14:15
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/7/2022 14:15
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/7/2022 14:15
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/7/2022 14:15
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,11/7/2022 14:15
500 ft. 4 Gauge Black Stranded Copper THHN Wire,614.28,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/7/2022 14:15
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,https://www.ebay.com/p/17040228268,11/7/2022 14:15
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409,homedepot,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/7/2022 14:15
500 ft. 6 Gauge Black Stranded Copper THHN Wire,511.7,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/7/2022 14:15
500 ft. 6 Gauge Black Stranded Copper THHN Wire,344.99,southwestlumber,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,11/7/2022 14:15
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,https://www.ebay.com/itm/203860011450,11/7/2022 14:15
500 ft. 6 Gauge Black Stranded Copper THHN Wire,506.37,dkhardware,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,11/7/2022 14:15
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,11/7/2022 14:15
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/7/2022 14:15
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,11/7/2022 14:15
