material_description,material_price,vendor,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,26.18,homedepot,https://www.homedepot.ca/product/columbia-mbf-1-2-inch-emt-conduit/1000106377,11/09/2022 03:29:39
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,25.19,ca/1-2-x-10-emt-conduit-1022191,https://kent.ca/1-2-x-10-emt-conduit-1022191,11/09/2022 03:29:39
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.99,homehardware,https://www.homehardware.ca/en/12-x-10-emt-conduit/p/3621021,11/09/2022 03:29:39
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/09/2022 03:29:39
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/09/2022 03:29:39
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,12.68,lowes,https://www.lowes.com/pd/Common-3-4-in-Actual-75-In-Metallic-Emt-10-ft-Conduit/3129553,11/09/2022 03:29:39
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/09/2022 03:29:39
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.35,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/09/2022 03:29:39
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/09/2022 03:29:39
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/09/2022 03:29:39
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/09/2022 03:29:39
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/09/2022 03:29:39
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/09/2022 03:29:39
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,2.29,wilmar,https://www.wilmar.com/Sku/100548441/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411262808-26280,11/09/2022 03:29:39
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,11/09/2022 03:29:39
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),11.03,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/09/2022 03:29:39
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),6.45,dkhardware,https://www.dkhardware.com/23212-3-4-in-electrical-metallic-tube-emt-set-screw-connector-product-3241496.html,11/09/2022 03:29:39
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/09/2022 03:29:39
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.7,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/09/2022 03:29:39
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/09/2022 03:29:39
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,https://www.ebay.com/itm/363478081520,11/09/2022 03:29:39
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/09/2022 03:29:39
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/09/2022 03:29:39
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/09/2022 03:29:39
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,143.99,amazon,https://www.amazon.com/NM-B-Southwire-Romex-Electrical-Cable/dp/B07NJ5LRF1,11/09/2022 03:29:39
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,160.59,ebay,https://www.ebay.com/itm/373786770182,11/09/2022 03:29:39
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/09/2022 03:29:39
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/09/2022 03:29:39
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,150.0,supplyworks,https://www.supplyworks.com/Sku/2487704/southwire-250-ft-122-solid-romex-simpull-cu-nm-b-wg-wire-032886163050-28828255,11/09/2022 03:29:39
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/09/2022 03:29:39
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,11/09/2022 03:29:39
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,315.01,ebay,https://www.ebay.com/b/12-3-Romex/92078/bn_7023293830,11/09/2022 03:29:39
500 ft. 4 Gauge Black Stranded Copper THHN Wire,765.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,11/09/2022 03:29:39
500 ft. 4 Gauge Black Stranded Copper THHN Wire,634.6,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/09/2022 03:29:39
500 ft. 4 Gauge Black Stranded Copper THHN Wire,634.7,ebay,https://www.ebay.com/p/17040228268,11/09/2022 03:29:39
500 ft. 6 Gauge Black Stranded Copper THHN Wire,409.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/09/2022 03:29:39
500 ft. 6 Gauge Black Stranded Copper THHN Wire,511.7,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,11/09/2022 03:29:39
500 ft. 6 Gauge Black Stranded Copper THHN Wire,354.99,southwestlumber,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,11/09/2022 03:29:39
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,https://www.ebay.com/itm/203860011450,11/09/2022 03:29:39
500 ft. 6 Gauge Black Stranded Copper THHN Wire,506.37,dkhardware,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,11/09/2022 03:29:39
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,11/09/2022 03:29:39
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/09/2022 03:29:39
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,11/09/2022 03:29:39
