Material Description,Material Price,Vendor Location,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,homedepot,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,10/22/2022 20:22:06
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.99,lowes,https://www.lowes.com/pd/Common-1-2-in-Actual-50-In-Metallic-Emt-10-ft-Conduit/3129551,10/22/2022 20:22:06
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/22/2022 20:22:06
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,5.88,supplyworks,https://www.supplyworks.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,10/22/2022 20:22:06
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,10/22/2022 20:22:06
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/22/2022 20:22:06
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,10/22/2022 20:22:06
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/22/2022 20:22:06
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/22/2022 20:22:06
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,98.99,amazon,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,10/22/2022 20:22:06
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/22/2022 20:22:06
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/22/2022 20:22:06
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,10/22/2022 20:22:06
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,10/22/2022 20:22:06
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/22/2022 20:22:06
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/22/2022 20:22:06
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/22/2022 20:22:06
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,10/22/2022 20:22:06
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.29,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,10/22/2022 20:22:06
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/22/2022 20:22:06
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,128.62,ebay,https://www.ebay.com/itm/203933588941,10/22/2022 20:22:06
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,87.99,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,https://celebrationhardware.com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,10/22/2022 20:22:06
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,158.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/22/2022 20:22:06
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,10/22/2022 20:22:06
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,10/22/2022 20:22:06
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,227.29,ebay,https://www.ebay.com/itm/313961378086,10/22/2022 20:22:06
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/22/2022 20:22:06
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,10/22/2022 20:22:06
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,339.09,qcsupply,https://www.qcsupply.com/12-3-romex-simpull-wire-250ft.html,10/22/2022 20:22:06
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/22/2022 20:22:06
500 ft. 4 Gauge Black Stranded Copper THHN Wire,787.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,10/22/2022 20:22:06
500 ft. 4 Gauge Black Stranded Copper THHN Wire,1047.78,ebay,https://www.ebay.com/p/17040228268,10/22/2022 20:22:06
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,https://www.ebay.com/itm/203860011450,10/22/2022 20:22:06
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,10/22/2022 20:22:06
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.49,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/22/2022 20:22:06
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,https://www.cooper-electric.com/product/detail/23760/thhn-copper-wic-thhn-10-str-blk-500r,10/22/2022 20:22:06
