Material Description,Material Price,Vendor Location,Link,Formatted Datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.86,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/03/2022 10:49:30
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/03/2022 10:49:30
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/03/2022 10:49:30
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/03/2022 10:49:30
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/03/2022 10:49:30
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/03/2022 10:49:30
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/03/2022 10:49:30
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/03/2022 10:49:30
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/03/2022 10:49:30
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.66,supplyworks,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,11/03/2022 10:49:30
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/03/2022 10:49:30
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,11/03/2022 10:49:30
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/03/2022 10:49:30
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/03/2022 10:49:30
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/03/2022 10:49:30
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,11/03/2022 10:49:30
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.1,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/03/2022 10:49:30
